sample_name	shotgun_woltka_reads
12201.oral.human.B.1.standard.H	187715.0
12201.oral.human.D.1.pro.H	187526.0
12201.mc.d3.3.magmax.L	187426.0
12201.stool.human.H.1.standard.H	187202.0
12201.food.yogurt.1.1.standard.H	186012.0
12201.stool.human.H.3.norgen.H	184799.0
12201.oral.human.A.3.microbiome.H	184125.0
12201.mc.d2.2.homebrew.L	183301.0
12201.food.yogurt.2.3.norgen.H	183025.0
12201.urine.female.F.1.microbiome.L	182935.0
12201.stool.cat.M.3.pro.H	180673.0
12201.uriF.E.2.homebrew.L	179461.0
12201.oral.human.F.2.pro.H	179346.0
12201.oral.human.L.2.microbiome.H	177795.0
12201.skin.foot.B.1.nucleomag.L	174825.0
